PUMFID,LFW_400,LFW_410,LFW_420A,LFW_420B,LFW_420C,LFW_440,AFT_P010,AFT_020,AFT_P040,AFT_050,AFT_070,AFT_080,AFT_090,BEF_P140,BEF_P150,BEF_160,DEM_P010,DEM_P030,DEM_P140,GRADAGEP,REG_INST,CERTLEVP,PGMCIPAP,COOP,PREVLEVP,HLOSGRDP,HLOSINTP,STULOANS,OWESLGD,OWEGVIN,SRCFUND,RESP,SCHOLAR,DBTOTGRD,DBTOTINT,DBTALGRD,DBTALINT,LFSTAT,LFCINDP,LFCOCCP,LFWFTPT1,JOBQLEVP,JOBQLGRD,JOBQLINT,JOBINCP,PERSINCP,REG_RESP,VISBMINP,CTZSHIPP,LHOMEP,LFIRSTP,FATHEDP,FATEDGRD,FATEDINT,MOTHEDP,MOTEDGRD,MOTEDINT,DDIS_FL,DTYPERP,DCLASSP,WTPF
29326,1,2,2,2,2,1,6,6,6,6,6,6,6,3,1,1,1,0,3,1,2,3,5,2,2,3,3,1,1,0,3,6,6,6,6,1,0,1,3,2,1,3,2,2,9,8,2,2,1,2,2,5,1,1,3,1,1,2,6,0,14.4764
29327,2,2,2,2,2,2,2,1,1,1,1,6,2,1,1,6,1,1,1,4,3,3,4,2,3,3,3,2,6,6,3,6,1,6,6,6,6,1,5,5,2,3,1,1,8,10,3,1,2,3,3,1,1,1,1,1,1,2,6,0,10.081
29328,6,6,6,6,6,6,2,2,2,2,6,6,2,3,1,6,2,0,3,1,2,2,4,2,1,2,3,2,6,6,3,6,4,0,1,0,1,3,96,96,6,6,6,6,96,99,2,2,1,2,2,3,1,1,3,1,1,1,2,1,35.7752
29329,6,6,6,6,6,6,0,6,6,6,6,6,6,3,2,3,2,0,1,2,3,3,3,2,6,3,3,1,4,4,2,6,1,6,6,4,4,3,96,96,6,6,6,6,96,1,3,1,1,1,1,5,1,1,1,1,1,1,2,3,11.2514
29332,3,2,1,1,2,1,6,6,6,6,6,6,6,1,1,6,2,0,1,1,3,1,10,1,6,1,1,1,1,0,3,6,6,1,0,2,0,1,2,7,1,0,1,1,4,1,3,2,1,1,1,4,2,2,5,3,3,1,2,3,71.1378
29333,2,1,5,4,2,2,3,2,1,1,1,6,1,3,1,1,2,0,3,2,2,1,2,2,2,2,1,1,3,3,3,6,6,1,3,3,4,1,1,9,1,9,1,1,6,5,2,1,2,1,3,5,3,3,5,3,3,1,1,1,18.035
29336,2,1,5,5,2,2,3,2,1,1,2,2,3,1,9,3,1,0,3,1,2,3,4,2,6,3,3,2,6,6,1,6,6,2,0,2,0,1,6,6,1,2,1,1,3,2,9,2,9,2,2,6,3,3,6,3,3,2,6,0,60.5513
29338,1,6,6,6,6,6,3,1,1,1,1,6,1,1,1,4,1,0,3,2,3,3,2,2,2,3,3,1,4,4,3,6,4,6,6,4,4,1,2,7,2,6,6,6,96,2,3,2,1,1,1,6,2,1,6,2,1,2,6,0,11.7664
29339,1,2,2,4,2,2,5,2,1,1,2,2,1,1,1,3,2,0,1,1,3,1,9,1,6,1,1,2,6,6,3,9,6,6,6,6,6,1,7,6,1,1,2,2,4,99,3,2,1,1,1,5,3,3,2,1,1,1,1,1,71.1378
29340,1,1,1,2,5,2,2,2,1,2,2,1,1,1,9,6,1,2,1,4,4,3,6,2,3,3,3,2,6,6,3,6,6,6,6,6,6,1,3,3,1,3,2,2,99,8,4,1,2,3,1,2,1,1,1,1,1,2,6,0,11.9316
29343,2,1,3,3,2,2,2,1,1,2,2,2,1,2,1,3,1,3,1,2,4,3,10,2,2,3,3,2,6,6,3,6,3,6,6,6,6,1,7,5,1,2,1,1,6,5,4,1,3,3,3,6,2,2,4,1,1,2,6,0,9.9692
29344,1,2,2,2,2,2,3,2,1,2,2,4,3,3,2,6,1,0,1,1,1,1,5,1,1,1,1,1,2,0,3,6,6,2,1,3,1,1,7,5,1,1,2,2,4,4,1,2,1,1,1,4,2,2,3,1,1,2,6,0,11.5193
29346,1,2,1,3,1,1,6,6,6,6,6,6,6,2,1,2,1,1,1,1,4,2,1,1,6,2,2,2,6,6,3,1,6,6,6,6,6,1,5,5,1,2,2,2,7,7,4,2,1,1,1,3,1,1,1,1,1,2,6,0,11.0931
29348,1,2,2,2,3,1,6,6,6,6,6,6,6,3,1,4,2,0,1,1,4,2,9,2,6,2,2,2,6,6,3,6,6,3,3,3,3,1,7,4,1,2,2,2,8,8,4,2,1,1,1,5,2,2,6,3,3,2,6,0,10.1339
29349,1,2,3,4,3,2,1,2,2,1,6,6,1,3,1,2,2,0,1,1,4,2,7,1,6,2,2,9,9,9,9,9,9,9,9,9,9,1,4,3,1,2,2,2,99,99,4,1,2,3,3,99,9,9,4,1,1,2,6,0,16.6989
29351,1,2,2,4,3,1,6,6,6,6,6,6,6,3,1,1,1,0,3,1,2,2,8,2,1,2,3,1,2,0,2,6,6,6,6,2,0,1,4,3,1,2,2,1,6,6,2,2,1,2,1,3,1,1,3,1,1,2,6,0,33.437
29352,1,2,1,1,1,1,6,6,6,6,6,6,6,1,1,4,1,1,2,1,2,2,5,2,6,2,2,1,3,3,2,6,6,6,6,3,3,1,3,2,1,2,2,2,9,6,2,2,1,2,2,2,1,1,2,1,1,2,6,0,35.7752
29354,1,2,1,2,1,2,1,2,1,1,1,6,1,3,1,2,1,2,1,2,3,3,6,2,2,3,3,2,6,6,3,6,4,0,0,0,0,1,4,3,1,3,2,2,7,4,3,9,1,1,1,2,1,1,5,1,1,2,6,0,11.2514
29357,2,1,3,3,2,2,0,6,6,6,6,6,6,1,2,6,2,0,3,4,3,9,4,2,3,3,9,1,0,0,3,6,1,2,3,2,3,1,7,4,2,2,1,3,6,99,2,2,1,1,1,5,9,3,5,9,3,1,2,1,11.2339
29358,3,2,1,1,1,2,2,1,1,2,1,6,3,3,1,5,1,0,3,1,2,1,9,2,6,1,1,2,6,6,2,6,6,6,6,6,6,1,7,2,1,0,1,1,4,4,2,2,1,2,1,1,1,1,4,2,2,2,6,0,16.1185
29359,3,2,1,2,1,1,6,6,6,6,6,6,6,3,1,6,2,0,1,1,4,2,3,2,6,2,2,1,4,0,3,6,3,3,3,4,3,1,4,5,1,2,2,2,5,4,4,2,1,1,1,5,2,2,5,2,2,2,6,0,10.8597
29360,6,6,6,6,6,6,2,4,1,2,2,2,2,4,1,6,2,3,1,3,3,3,9,2,2,3,3,1,0,0,3,6,1,4,4,4,4,3,96,96,6,6,6,6,96,10,3,2,2,1,1,5,1,1,3,1,1,1,2,2,11.7664
29361,1,2,2,2,2,2,1,2,1,1,1,6,1,3,1,3,2,0,1,1,4,2,6,2,6,2,2,1,4,0,3,1,6,6,6,4,0,1,1,3,1,2,2,2,7,7,4,1,1,1,3,99,9,9,99,9,9,2,6,0,11.0243
29363,2,2,2,2,2,1,6,6,6,6,6,6,6,3,1,6,1,1,1,2,4,2,5,1,6,2,2,2,6,6,2,6,6,6,6,6,6,1,3,3,1,2,2,2,9,9,4,2,1,1,1,2,1,1,2,1,1,2,6,0,14.2388
29364,1,2,2,2,2,1,6,6,6,6,6,6,6,1,1,6,1,1,1,3,3,3,5,2,2,3,3,2,6,6,2,6,4,6,6,6,6,1,4,3,1,3,2,2,8,9,3,1,2,3,3,5,1,1,5,1,1,2,6,0,11.7664
29365,3,1,2,3,2,1,6,6,6,6,6,6,6,1,1,4,2,0,1,2,3,2,3,2,6,2,2,2,6,6,3,6,6,6,6,6,6,1,2,7,1,0,1,1,5,5,3,9,1,1,1,6,3,3,4,1,1,1,1,1,74.1495
29367,1,2,1,2,2,1,6,6,6,6,6,6,6,4,1,6,1,2,1,3,4,1,9,2,2,2,1,1,0,0,3,6,6,6,6,0,0,1,7,5,1,2,2,3,7,99,9,2,2,1,1,5,3,3,4,2,2,2,6,0,20.8586
29368,1,2,2,2,2,2,1,4,1,2,1,6,1,3,1,6,2,0,1,2,4,2,9,2,6,2,2,1,3,3,2,6,6,4,3,4,4,1,7,4,1,2,2,2,7,2,4,9,1,1,5,2,1,1,1,1,1,1,2,1,10.6074
29370,6,6,6,6,6,6,2,2,1,1,1,6,1,4,1,1,1,2,1,3,4,2,1,2,6,2,2,1,4,4,3,6,2,6,6,4,4,3,96,96,6,6,6,6,96,6,4,2,1,1,1,5,2,2,1,1,1,2,6,0,12.801
29375,6,6,6,6,6,6,3,1,1,2,1,6,3,3,1,5,1,0,1,1,4,2,4,2,6,2,2,1,4,4,3,3,1,6,6,4,4,3,96,96,6,6,6,6,96,3,4,1,3,3,3,5,2,2,5,2,2,2,6,0,14.2388
29378,3,6,6,6,6,6,1,2,1,1,1,6,2,1,9,3,1,1,3,2,2,3,8,2,2,3,3,2,6,6,1,6,6,6,6,6,6,1,5,5,9,6,6,6,96,3,2,1,2,2,5,4,1,1,5,1,1,2,6,0,29.8725
29379,3,2,2,3,4,2,2,1,1,2,1,6,3,3,1,6,2,0,3,1,1,2,5,2,6,2,2,2,6,6,3,6,1,4,4,4,4,1,7,5,1,2,2,2,5,5,1,2,1,1,2,6,3,3,4,1,1,2,6,0,10.3616
29380,1,2,1,1,1,2,2,1,1,2,1,6,1,1,1,6,1,0,1,4,4,3,9,2,2,3,3,1,0,0,3,6,6,0,0,0,0,1,5,5,2,3,2,2,5,99,4,1,1,1,3,1,1,1,1,1,1,2,6,0,10.6741
29382,3,1,2,2,2,2,1,5,1,1,1,6,3,1,1,6,2,0,3,4,2,2,10,2,2,2,2,2,6,6,1,6,6,6,6,6,6,1,2,2,1,0,1,1,5,6,2,1,2,2,2,1,1,1,5,3,3,2,6,0,10.7247
29383,3,6,6,6,6,6,2,1,1,2,1,6,3,3,1,6,2,0,1,2,4,2,4,2,6,2,2,1,4,3,3,6,6,2,0,4,3,1,4,2,1,6,6,6,96,3,4,1,1,1,3,2,1,1,2,1,1,2,6,0,14.2388
29386,6,6,6,6,6,6,0,6,6,6,6,6,6,9,9,99,9,9,9,1,3,2,9,2,9,9,2,2,6,6,1,6,6,6,6,6,6,3,96,96,6,6,9,6,96,99,3,9,9,9,9,99,9,9,99,9,9,2,6,0,56.8409
29387,6,6,6,6,6,6,0,6,6,6,6,6,6,3,1,1,1,2,1,1,4,2,5,2,1,2,2,2,6,6,1,6,6,6,6,6,6,3,96,96,6,6,6,6,96,99,4,9,3,3,3,5,2,2,5,2,2,2,6,0,12.2309
29388,1,2,2,2,2,2,0,6,6,6,6,6,6,1,1,6,1,1,1,2,4,2,8,2,6,2,2,2,6,6,1,6,6,6,6,6,6,1,1,1,1,1,1,1,8,99,4,2,1,1,1,2,1,1,2,1,1,2,6,0,24.7214
29392,1,1,4,5,2,2,1,4,2,2,6,6,1,1,1,6,1,0,1,2,3,1,4,2,2,2,3,1,4,4,3,6,1,3,2,4,4,1,99,99,1,1,1,1,5,2,3,2,2,1,1,4,2,1,4,2,1,1,2,1,51.9627
29393,1,2,1,2,2,1,6,6,6,6,6,6,6,1,1,6,1,0,1,1,4,2,9,2,6,2,2,1,0,0,3,3,6,4,1,4,1,1,7,4,1,2,2,2,9,10,4,2,1,1,1,6,3,3,5,2,2,2,6,0,10.6074
29394,1,2,2,1,4,1,6,6,6,6,6,6,6,3,1,5,1,1,3,1,2,3,9,2,1,3,3,1,1,0,3,6,6,6,6,1,0,1,7,4,1,3,2,2,7,4,2,2,1,2,2,5,1,1,5,1,1,2,6,0,14.4764
29395,1,2,1,1,2,1,6,6,6,6,6,6,6,3,1,2,1,0,1,1,4,1,4,2,6,1,2,2,6,6,3,2,6,6,6,6,6,1,7,5,2,2,3,1,2,2,9,2,1,1,1,3,1,1,4,2,1,2,6,0,27.461
29396,1,2,2,2,2,1,6,6,6,6,6,6,6,3,1,2,1,0,1,1,1,2,8,1,6,2,2,1,0,0,3,6,1,6,6,0,0,1,1,3,1,2,2,2,8,8,1,2,1,1,1,5,2,2,4,1,1,2,6,0,12.1596
29399,1,2,2,2,2,2,1,1,1,1,2,2,2,3,1,2,2,0,3,2,2,3,5,2,2,3,3,1,3,2,3,6,6,3,2,4,3,1,4,3,1,2,1,1,6,6,2,1,2,2,2,5,1,1,4,1,1,2,6,0,10.8636
29400,3,2,1,2,2,2,9,9,9,9,9,9,9,3,1,1,1,1,1,1,4,2,5,2,6,2,2,2,6,6,1,6,6,6,6,6,6,1,7,2,9,0,1,1,99,99,4,2,1,1,1,99,9,9,99,9,9,2,6,0,11.1206
29404,1,2,2,2,2,1,6,6,6,6,6,6,6,3,1,4,1,0,1,1,4,2,5,2,6,2,2,1,3,1,3,6,4,6,6,3,1,1,1,2,1,2,2,2,6,6,4,2,1,1,1,3,1,1,4,1,1,2,6,0,11.0243
29405,1,2,1,2,1,1,6,6,6,6,6,6,6,3,1,6,2,0,3,4,3,3,8,2,3,3,3,1,3,2,3,6,6,6,6,3,2,1,3,3,1,3,2,2,8,9,3,2,1,1,3,2,1,1,1,1,1,2,6,0,12.2701
29406,1,1,4,5,2,1,6,6,6,6,6,6,6,3,1,6,2,0,1,2,3,1,4,1,2,2,1,1,4,3,3,6,6,6,6,4,3,1,5,5,2,1,1,2,4,4,3,2,1,1,1,6,3,3,6,3,3,2,6,0,51.9627
