"ID","edu_level","program","edu_region","cur_region","cur_status","job_sector","job_type","student","annual_salary","job_satisfy","employment_rate","total_population","percentage"
62751,"Master/PhD","Health","Ontario","Ontario","Employed","Education","Full-time","Not Student","80000","Neutral",87.0460394623963,2648,16.4084768868509
62753,"Bachelor","Business","Western","Western","Employed","Education","Full-time","Not Student","80000","Satisfied",87.5531268973892,4973,30.8154666005701
62754,"Bachelor","Other","Atlantic","Atlantic","Employed","Health","Full-time","Not Student","60000","Satisfied",84.7740236946029,1722,10.6704672202256
62756,"Bachelor","Health","Western","Western","Employed","Goods Producing","Full-time","Not Student","40000","Neutral",87.5531268973892,4973,30.8154666005701
62759,"Master/PhD","Health","Quebec","Quebec","Unemployed",NA,NA,"Not Student",NA,"Valid skip",90.1944209636517,380,2.35469079191969
62760,"Bachelor","Architecture","Western","Western","Employed","Science","Full-time","Not Student","60000","Very satisfied",87.5531268973892,4973,30.8154666005701
62761,"Master/PhD","MCS","Western","Western","No Labour Force",NA,NA,"Student",NA,"Valid skip",87.5531268973892,954,5.91151319866154
62762,"Bachelor","Lifescience","Ontario","Ontario","Employed","Other","Full-time","Not Student","60000","Satisfied",87.0460394623963,2648,16.4084768868509
62763,"College/CEGEP","Lifescience","Ontario","Ontario","Employed","Goods Producing","Full-time","Not Student","60000","Dissatisfied",87.0460394623963,2648,16.4084768868509
62764,"College/CEGEP","Other","Atlantic","Atlantic","Employed","Health","Full-time","Not Student","40000","Satisfied",84.7740236946029,1722,10.6704672202256
62765,"Bachelor","Business","Atlantic","Atlantic","Employed","Finance","Full-time","Not Student","60000","Satisfied",84.7740236946029,1722,10.6704672202256
62766,"Bachelor","Other","Atlantic","Atlantic","Employed","Health","Part-time","Not Student","15000","Very satisfied",84.7740236946029,176,1.09059362994175
62768,"College/CEGEP","Lifescience","Atlantic","Atlantic","Employed","Finance","Full-time","Not Student","60000","Very satisfied",84.7740236946029,1722,10.6704672202256
62769,"Master/PhD","Lifescience","Quebec","Ontario","Employed","Finance","Full-time","Not Student","90000","Satisfied",87.0460394623963,2648,16.4084768868509
62770,"College/CEGEP","Other","Atlantic","Atlantic","Employed","Health","Full-time","Not Student","60000","Satisfied",84.7740236946029,1722,10.6704672202256
62772,"Master/PhD","Lifescience","Western","Western","Employed","Finance","Full-time","Not Student","80000","Very satisfied",87.5531268973892,4973,30.8154666005701
62774,"Master/PhD","Health","Ontario","Ontario","Employed","Goods Producing","Full-time","Not Student","80000","Very satisfied",87.0460394623963,2648,16.4084768868509
62777,"Bachelor","Other","Atlantic","Atlantic","Employed","Health","Full-time","Student","80000","Satisfied",84.7740236946029,1722,10.6704672202256
62778,"Bachelor","Health","Quebec","Quebec","Employed","Science","Full-time","Not Student","90000","Satisfied",90.1944209636517,2853,17.6787706035444
62780,"Bachelor","Lifescience","Atlantic","Atlantic","Employed","Finance","Full-time","Not Student","60000","Satisfied",84.7740236946029,1722,10.6704672202256
